content,label
喂。喂。喂那个。合肥蜀山的上海浦东什么货的歌？喂喂！太阳能板呢那个太阳能。承托的。对。给多少钱呢？对。运费咋付，啊塑胶二胡。这喝的哪有卡啊到付！转向油卡，其余现金！我油卡不行吗？都有好吧！为啥装饰于八车子！小费算！不用卡。不能说我最多给你给你4000。是真是。对，因为没有不友好。的你都国五的！车现在都是新车专用卡太多了。都国五的车了。双敏。噢你多欢乐吧。是不是？油卡行不行？啊。啊算你可以做完，装不了。倒车时间哪。被撕下！我打卡吧就是。速度给你，对对。没有。嗯什么时候装啊我或到10万直接对我直接给你付清。的？噢那那个对。你九点以后你就开过去，是多少吨呢？因为我今天我我今天我今天装十个车了，今天啥也不超，呗就是30左右。46脱！宽度超点。媒这个啊实际宽度三。米五哈，啊3米15啊。3米15。啊超一面吧没有！对。右边超左边不差，因为超左，但你上不了高速的，能朝右边。噢。在这。对，在合肥过来只能抄，有的抄抄200多抄的话，你上不了高速的。啊是该警务室吧用油布啥勒？没有，我在我们家庭装我知道的。天天多，他们说。只能只能朝右边。有。行。到那就卸呗就是没早泄。对对。没事，早上卸货嗯噢就来了，就是他这来得快，谁谁相信7点半开始卸车。行。我今天还卸十个车了，今天。今天就能装，呗那意思是吧？就那还能装吧。那倒车4800就是不用卡！我。能做能做能做能做！先后原件，你好，你打电话吧嗯嗯。能做！对对对对对对对。唉。好好好好好好。喂喂。啊我刚才你打电话呢那哥！噢噢。咱那是在哪装合肥蜀山啊。蜀山区！明珠大道梅。路到金澳太阳能！不仅形是不是啊不仅全部禁行，你要。定完我加上我发！到你位置你看看也行。我那个啥？不解决不就行。说。我装也得估计得。可以不着急，可以可以可以都可以。中午装行不行，或者下午装行吗？五点四点钟就能做。啊是那。就是那什么吧。到到。车4000打卡，呗是不是！对对，是不是我我我我就在现场，明天我就在现场收获，啊不用卡。啊你在现场收获，明天啊对我我收回单吗？收回单收收单子。啊明天你去呗那意思是吧？对，我我天天在这里，每天都在这里，我收单子的。啊那。是回单的啊。就是3米15宽，是不是？对，两米长，1米1米一！别的啥也不抄。是我的做法！你你这。完我发给你看看就知道了！写完那我加你微信吗？那个。啊定吧完了。行，我订单了，我打200针！经济的。这个手机号是你微信不？对对对。你在那个在那个在那个平台打200吨进来，啊我。进去。啊然后。嗯对。倒车4210给！我打是吧？那意思。对，总价4200你。啊。你有。那个假行驶证吗？啊我你。啊。把那个假行驶证了，吧上海就十块钱过路费那一组，没有，啊噢他们车都有这个假清楚证，到上海就交十块钱，从华侨跑到这边。那啥意思呢？啊你们你没办你没办假清楚是吧？没办呢。噢。假性上。噢就上海就十块钱过路费，上海跑一圈也十块钱！你们你们办事！噢噢那没办那真不知道，那不知道啊。吧啊噢他们安徽都办了假行驶证！我就是平台给你打200！嗯。完了明天到！对对，没庄家微信。现场你给我4200呗是吧？对对对。说你都4200，那个行行，就加你微信先来，啊好大哥唉对对。对对，打完奖金的吧好好好！说你都4200，那个行行，就加你微信先来，啊好大哥唉好好嗯。,0
喂，你好。啊啊。呃。25号和。啊。知道的啊。自来水厂。嗯。是非洲和吧啊，那你快点和啊，我要我就要我用一下。这点钱对下午到晚上。啊。啊，对吧啊啊。对。我记得我记得我20多的那种啊。对。第一笔就行了啊。嗯。热门的。对那田镇。那个你这个要退货，把电话转回来啊。,0
喂老板你好，巢湖到位。唉你好！啊巢湖。我说巢湖到阜阳的货啊唉对你多少条码？嗯6米8过来啊也可以高栏，呢就这也有点，因为他这个到。货！航吊吊上去的！行，丢掉我！那个后面那个没。龙头。都好打开！对，可以可以的可以的。嗯打个后面就好了！所以你打开就是就是双的时候，你打开卸的时候你就不用打了，你叫边上去拆开它，叉车就搞下来了，就是装的时候是黄调调的。噢。嗯那我看见那个。装饰什么货啊。我看打了个8到10吨，还不确定定位，对吧？他等于内等于，你这样给你讲了吗？十分以内。嗯。啊装什么？不会早死的。装什么货？他。纯重货。纯重货他这个E货高就几十公分搞。啊对，啊。几次工人。报啊啊对。啊。三不超了，就是啊三不超，什么都不着急。用尾巴的车装不满，呢到噢到阜阳哪个地方？陈总！他到阜阳。这样的，呀他不在阜阳那里，他。所以说我。写我写这写得阜阳它是在这个双浦镇。知道吧？双浦啊。庄古镇。对。啊本身在就是转塘下去。近望阜阳那个走几公里路。那个商商铺。嗯。啊给多少运费点？1600。双浦那卸货方便吗？那地方？唉呀卸货你不用你翻身的，走道就解，还不要你排队什么的，因为他是小厂你知道吗？装货也不要排队。你现在是空车吗？对，啊你碰到现在走到就是说走到了装到那个你不要排队一个什么的，嗯。你要他其他的厂要排队啊什么东西什么东西？啊装卸都不。走道就走，唉对，装卸都不要你翻身了，啊对对对对。装卸都不配备。那有的厂家排队又这么搞，那么搞的。这个这个装卸这个方便的很，反正总的就那么多钱都给你。嗯1600块钱卸掉货就给钱，就这么简单。啊嗯。1600你。对。是不是上午好装饰什么时候装？可以你上可以，啊你现在过去就可以了。那上午也好装，下午也好，早市吧。啊对对对对对。你朋友挑吗？你上午过去过去吗？你想下午过去也可以，反正明天早晨到都可以。嗯存货是装铁了，是不是装铁？都可以了。钢板之类的。唉就就是贴就是翻砂厂出来的那个铁管。小块。啊对对对。我就不拿我拿那么重的可定，就急着部分高。嗯。还要盖一步的，啊要不要盖衣服，啊到时候。啊。稍微你稍微盖一点了，反正有一些鱼没事，但是不能大力对不对？要大力把它绣完掉了，客户就不行了。哪里有一点没事的，反正这问题不大的。嗯噢噢那那个反正是卸货，不是禁区啊装布！我包你不是进去，我想包你不是进去。要1万。啊装卸！我不是发这个。货不是一天不是要我偶尔发一次的。你知道三天一次三天一车的，你知道吧？啊啊装卸的不是禁区客户！包你不是进去叫你解，你打过这个货你就知道了。这个你别拉回来，心里有点有点怕的，呀哈哼包你不能进去，唉你自己放心好了。好，装卸都不是进去，你最多给1600。啊对。反正多一点多一点也给不了啊是吧？啊对对对对。唉总的就那么多钱，你说说我一毛钱也不会赚你的，你到那就卸。呵呵到那去卸货，卸的货就给你钱，你说说。又不存在他们要赚多少钱赚差价什么东西的。嗯嗯那个那那个老板是这样，那地你打多少，啊就你你就打一百块钱好了，你装好车就退给你了。这么简单。噢然后噢然后一般马上面会给我开成以后，现在我看不到你号码，你也看不到我的号码。啊可以。可以的，你你你那那好了，你随便！这一一码码唉一买我客户号码的话，我都给你加一道微信好吧？噢我。知道，我说你把定金一定就有了，奖金一定啊你订你订好过之后，然后我就叫你号码，你加我的微信装货地址，卸货地址我都发给你。唉是的。就可以了。然后噢好好好好行，那那然后是这样好勒。啊。啊对对。嗯我现在是在空车是昨天就空车的，昨天。二。222。空车我没找货，我在合肥我丈母娘家里面这样的，我中午饭吃过，然后。噢好，没事。早点吃饭，然后下午立马就过去，总可以，啊可以可以可以可以可以可以。反正明天啊反正明天早上一早不耽误卸货，哼啊啊。啊对对对对对，可以可以。嗯可以啊好好，可以就行，我就是上午装也是明天早上卸货，对不对？啊完全好好好啊好！的好的好的好的。好好好，那行，我也打听您啊好的可以的。嗯嗯嗯嗯好好好好好好的！嗯好，谢谢啊。啊,0
你那个。是。多少钱。啊啊啊，对我的我的工资。到后面你是不是是。信诚到供电的买房用户啊啊，你是多少钱运费呀？运费多少钱嗯像私下额想不想在哪些地方下。啊。你这样因为1000多块钱影响起步，下下次下嗯对哎，那个杆子买你不要问我，那我是我的公司。夏思嘉一下下午下一千五三六，加一千八三百块钱以下。啊啊。啊。知道了。借寺庙交过去啊。啊。哎。实名54秒的矿区就是恭喜你即将人家距离远不远下户。你不要问你没有我们家夜市价身边的这些前面在外面跑，我是上海断线，要么就是这样的知道吧，你要是长期的，你过来跑要不上去理解吧，也不粘起来不习惯啊。媳妇现在他们习惯于接着保埃埃来来回去和湖南人，我们也有和过去退货啊。a。哦，我知道了，好谢谢啊。我是从上海转，现在我要穿旗袍。我刚才刚开始服啊。能报销吗？到现在都不是我的，应该再说呀，为什么是呀？你你哪里你哪里的，哪里的哪里的？我是宣城的，经常停电啊，瘫痪黄山市。我觉得我觉得你们这五年内那个叫他还款。你是说他问问他不他不经常给我拉面？还有那个小小张，张钧宁多了你们。啊。喂。你你是想买多少？你报一下，我看我有没有消化吸收帮忙报一下就看不到信息好的手机号码多少。我的号码你肯定不认识啊，我是不算的。我知道看不到麻烦把屏蔽了万一，你不今天你给我拿过。那你交了多少？我是19956325632261026102610？1995636多少？199563啊，那个我这个有个1995632呃3735。被人威胁吗？不是我是2610，嗯。啊，你是2610对吧，要不然你过来看看啊，那我就手机号有没有微信啊。我有啊，这个。微信号就有就是我的时候不行呢。好，那那我就我们加个微信吧好吧我现在我连我连诚物流啊，联通物流低压低压电应该应该是5个。好的好的，你在县城哪个地方？哦，就是双桥这里吧，好的。谁给我拉过去了啊，八点多了。就你们给我打过啊。啊，好的你先加我微信吧。好嗯。啊，好的你先加我微信吧。嗯。,0
喂。唉你好！啊到这个。您瞧，这个保温材料当中，D嗯对赵平姣的啊道凭票是吧？哦信阳，那个噢0-2。你2200，啊嗯它这个是保温的，啥具体长什么东西，啊就是那个袋装的一。袋袋的珍珠岩，啊。袋装的珍珠岩真。对。珍珠岩啊那他那个能，他那个装不了多少，吧那袋装的。装不了多少，我我订订了13吨，什么都不抄，货到付款的装卸也没有禁区。一袋多重？啊都没有进去，那那个一代耳朵一袋有多重，啊您带几公斤嘛多少？一袋几公斤，啊嗯嗯他这个怕雨吧下大雨要盖小雨应该没关系。啊我盖的顶部呢不下，我要把垃圾拿出来。边两边没盖！与不用盖编不呀不用编不。是啊那个不能再给点了！那个多了给不了，这个都是长期的货长走的。特别。啊长期的过。嗯这个。今天晚上现在现在能交吗？可以。知道了，明明天早上去就能去了，别去了，这耽误。啊那不会的，不不耽误，今天装明天卸很正常，后到付款三不超。然后我就啊那到。手里给2000啊不是总价给我留一百。那你。找的是只有58我我价格不。谈是吧？你也知道我。现在拿要还拿50块钱信息费的，都是一百块钱，你这个6米8的车我也是一百块钱，我也不是拿你多少，是不是？你给我拿你多你还好奖一百块钱，那那倒也。那倒也是。是不是你一百块钱再。让我少，我就没办法少了！在2000，我现在在在在这个哪哪？政府对账。嗯嗯你那远吗？哦可以。可以不远，反正从那里你怎样？到那个合裕路往左转。我也不知道，反正我就导航过去，呗唉对，你倒行，你到时候你要是能定，你再去马上。转一百块钱给我，你加我手机号，微信，我来给你发个定位。噢行，吧我看一下我给你转钱才会。嗯行，你看你转了以后就能看到我手机，好了，哈好好。嗯好的好的好的。嗯嗯好好，再见哈。好好。嗯好的好的好的。啊,0
我我那个定位呢喂你看北那。喂啊我现在给你付过去，啊咱们玉慢慢还得给你通一下电话才能才能怎么选择在线支付和线下支付。能吗？嗯这没关系没关系，唉你付完就过来了，啊大概几点钟到啊庐江离合肥不远，嘛被动。噢那不远那不远，那快的很嗯。啊行行，我我我给你付尾。嗯嗯好好。嗯嗯好的，嗯嗯。那个卸货位置你等下发过。行行，你付完了，我发给你！嗯嗯。好好。行行好好好。嗯嗯嗯嗯。行行好好好。回来了！,0
唉喂你好留着，所以到付应该多少钱？你好！到付林娜。到哪里的？71吨，哪到付零七岁的嘛七年七三三十吨是吧？嗯嗯噢303000个村镇都可以在为不限。噢。只有爱得比不限，都装都算啊73，770。嗯嗯十倍多，七差不多了，现在述表述百货兰州I百四四个4444或是比较难难找一点，嗯做百货很少没。好办法后头有收获！啊弧度有时候出60，有时候有时候出70，嘛确实还不错，啊的。噢我车子是在我出口在那个中原，呢在安徽这个啊中阳这地方，我一一百二十公里上午能过去。对不对？啊对，我是回我对我是回家的路，对。不。嗯中央可以，中央你回电录啊安庆枞阳正好啊嗯行行行，可以装着在巢湖什么地方装的？那可以定，那边能装备。啊好吧！主干道，到时候我那我把现金给你，现金费都一百啊嗯可以到巢湖中旱镇中翰整形。你把定位发给我行了！费一百块钱，大家定好了，我把信息发给你好，吧嗯唉行行，等下变好了，有。好的好的好的行。号码。然后我加你微信就可以了，好吧？啊好好啊。不用谢啊。好好好好唉好！好好好好好好，谢谢你，啊再见朋友啊再见唉好好好。嗯。我知道打打打了信息费给你的。噢行。嗯我的那个打好了就有号码了，啊好。我我在我在平台上面打行政费给你，啊好好好好好好好好好好好好。唉唉好好。好好好好。能不能定啊能力能力，我这个手机我上次在家里边那个。唉压货。什么升级的，把这号码都把这个信息都搞搞错了，这个你叫我微信，嘛你你叫我微信你叫我微信，我把信息费给你。啊你手机号。你手机号码多少？啊手机号码是176676。9670。9670。1968。就是你打我这号码？一九。一九就这个号码是互动一百，满号码。嗯没有显示。E769670196。噢。吧我加你吧啊嗯好的好的好的好的。好好好，再见再见嗯嗯。行唉。好好好唉好的，谢谢！,0
有。喂唉你好，那个淮南寿县到上海宝山达服装是吧？对。能出多少钱？唉你坐什么车？我9米6高板。啊中了三三千块钱。3000块钱。对。给你加一点。加多少？加200块钱。加200块钱。嗯你这样等一下我来问一下啊问吧，问回扣你拆迁怎么，你车在哪？我先撤撤到颍上。啊在以上的了。对对对。就明明天装你知道吧？明天早。对，这是明天装，对。可以，你只要你愿意去参加，我等明天可以，没事，我先搁家了。行，那我来我来给您问一下，问过吗？你回过去哈好的好的好的，谢谢你好。好好好，没事没事。好的好的好的，谢谢你好。对。唉。喂。唉你好！啊你好！那个我跟他说说好了。说好了，到时候他。那二个了。唉对对对对对。噢好的好的，那我。嗯你信息为多，吧你那你不没有信息，你直接给那个我那个那个就是为那个那个手机上转那个达200块钱定金，从给你那个嗯打200块，你你到那边卸过货以后把单子拍个照片发过来。巴拉巴拉定点！噢那。那你不是那话看到那孩子要订金嘛一样的，嘛呵呵对。啊对，你拍个照片发过来以后给运费转给你。运费和进场费转给你。噢是进厂的货给他！唉对，然后呢那个你把那个运单唉那个回单给寄过来以后，我能运完，马上给你直接充，一晚上200块钱退回去。嗯。好的好的好的好的好的。好嗯嗯嗯嗯。好的，那我家明天明天什么时候能装货！明天早上应该就那种。好。反正你对对对对你要如果早上明天下午转也行。明天上午也可以装！好好好的好的好的！嗯好好。啊那我传你微信，我就打了半个定金给你，哈好好的好好！好好嗯。噢他他了有15吨的给他。对对对对。他在胡庄什么故障，那么中嗯他是挺那个对，就是好像是那个像那个那个那个就是叫什么作作战服呀作战湖。嗯就是那个什么训练训训练服。or训练湖，那不。对，那个训练服，对。好的好的好的。嗯啊。嗯嗯,0
喂你好！你们到。亳州那个货。到车多少钱？喂嗯嗯到车700是吧？基本啊嗯信息费呢对啊怎么怎么？先！因为一百。那倒车之后他给多少给800？给一百块钱，嘛全价800是吧？对啊。纯粹全价是700全价！八。百吗？嗯嗯。你们什么时候装车！怎么了嗯啊嗯嗯。下早上就能断！你。两米，胜利家2米3。2米4的。2米4，内斤和2米3那边。啊我过去。啊那可以啊嗯。上午我现在就是能不能赶过去，我离那边还有一百公里，吧。上午就能装！嗯就是。赶过去，赶不赶趟。一百公里，啊我靠！你。现在几点？你要你要几个小时？七点。七点到十点吧马上七点了。十点。你要十点钟之前能到，肯定到。只能让你十点钟左右！十。嗯我装完！噢那行行，那尽量在十点赶到，吧以后，因为我下午还有。车啊。噢那行行。我现在把定金打给你，完了你加我的微信，你搞起来，到时候。装不完了。啊我看不到你的号，现在。嗯啊我。我的号码你能看到吗？对对对，我知道嗯嗯嗯。行，那一会我加你微信，你把那个。装车的！位置先给我发一下，我现在赶过去。我也看不到，啊我也是186的，所以说你只有成交了，付了定金以后才能看到！嗯嗯好不好？好。嗯行，现在要发。嗯。嗯。赶紧往这。跑啊嗯嗯嗯。,0
喂你好。点。喂你好，你那个你那到淮北的那个那个15吨嗯发走了没有？啊你什么车！我9米6到高栏的！他到那个不到淮北去到那个淮北那个下面那个嗯杨立昌张宇矿！唉噢那个地方路好像不能走啊那不是不能走，那个就是一个206那个事相告吧对吧？嗯啊206那个206国道个人那还有有相高的，对吧？那他那个运费是多少，啊准备给130啊。能到车上，吧车上不行，它本身就是一百，噢知道吧？因为还没看，你们这个车子肯定绕吗？要绕一点路。嗯对。嗯嗯嗯你看能要个130到车上吗？嗯嗯好的，那我问一下，啊。好，等你电话，啊唉好的好的。好，再见。啊。好，嗯。喂你好！那个唉你好！到淮北的那个怎么说，啊唉我是刚才给你打电话的到到淮北的，那个到哪里到哪里？淮北的。到淮北的。啊。我说要不给你1900块钱，吧。好吧，反正那个要绕路的！没事，泡点。嗯1900的话就是。我跟你说说。吧。噢1900到车上是吧？啊对对对爱人。他那个运费是怎么付的？呀味道地方扶！噢你说。喂卸货就给付是吧？唉嗯嗯的。噢那行，那我就登去，吧我给定了，吧天价的！那你那个那个那个等一会我来问一下，你那个楼你会照吧那个矿你知道吧？噢会热，我们嗯经常从那边走。你知道你哦你知道那个啥是蜂那有限高的地方，对吧？啊对。见了好长时间了。好的那可以，啊那我嗯那可以，嘛唉噢那行，那我给你定了。你开的开到哪里？就在哪里？我车在无为。好的，那你我来很近好的快，我我原件我稍微等一下，我打你电话啊嗯好好好。就那么。唉那可以，嘛反正就那你达50块钱吗？噢唉你好。行。我在玉买买呢付给你啊。嗯嗯可以可以可以等我要等一下，我加你我加你微信。噢那你一定要知道你怎么怎么绕你知道吧？嗯我知道。那条路你怎么绕？反正2005去驾驶员就是206峰，那个不仅仅嘛不不得进去，嘛啊不不能给，我想你300，他不能超过3米6。嗯我噢那个我知道嗯以前我们经常从那走，现在限高了，我们要走高速。那个你知道。是。是是要先试试想高。你也知道对吧？嗯对。那好的，那你那你接下来可以了，噢好。唉你我你知道！我的手机号码吗？不知道不知道，你你你一听就知道了！噢行，那先。我先付定金给你，吧。唉唉你今天衣服就知道了，主要是我跟你们讲好吧？好的好的好好！好。先付定金。好。唉好，唉。啊没事没事没事唉。,0
